Name,Description,Rating,Reviews,Image_links,Timing,All_Review_Links,Address,Spend Up Time,Website,Tags
Stanley Park,"Stanley Park is a 405-hectare public park that borders the downtown of Vancouver in British Columbia, Canada, and is mostly surrounded by waters of Burrard Inlet and English Bay.
The park has a long history and was one of the first areas to be explored in the city. The land was originally used by Indigenous peoples for thousands of years before British Columbia was colonized by the British during the 1858 Fraser Canyon Gold Rush. For many years after colonization, the future park with its abundant resources would also be home to non-Indigenous settlers. The land was later turned into Vancouver's first park when the city incorporated in 1886. It was named after Lord Stanley, 16th Earl of Derby, a British politician who had recently been appointed Governor General. It was originally known as Coal Peninsula and was set aside for military fortifications to guard the entrance to Vancouver harbour. In 1886 Vancouver city council successfully sought a lease of the park which was granted for $1 per year. In September 1888 Lord Stanley opened the park in his name. Wikipedia",4.8,"32,781 reviews","['https://lh4.googleusercontent.com/proxy/a4xtlxFY4QzxwjIE1rZvrwz9IFFhw096zGFpsQDNW08cL6ClsLR9pk_lXQOH4LzTmuW1dFfm6bNUTM5XFUpMbOPzq_kH_dK3s85JFmPNT4lUN7P_C_ZEUxbts7q79buGvbQCb6Ok1dWwDWPQmr0fjnP_bIlhmebCGOQ4yxPeKBMW=w296-h202-n-k-no', 'https://t3.gstatic.com/images?q=tbn:ANd9GcTlyfCDJLo5zjPr7xhCgL8sOVd_HbMGGRBFA331257C7BcUnc1q1tqtd3xdCVpAWBaYvwNG3YpJUuNCtjvePFHuAQ', 'https://t0.gstatic.com/images?q=tbn:ANd9GcQM2AF5hW87jdHX1mRWThymAmD7GOnk8NBL0tfG3vsVAZOCGA5Eh4DsX_Rvwp0nvdk0TqknAQdCZxqIjiIGsRwiGg']","{'Friday': ' 09:00 – 17:00', 'Saturday': ' 09:00 – 17:00', 'Sunday': ' 09:00 – 17:00', 'Monday': ' 09:00 – 17:00', 'Tuesday': ' 09:00 – 17:00', 'Wednesday': ' 09:00 – 17:00', 'Thursday': ' 09:00 – 17:00'}",https://search.google.com/local/reviews?placeid=ChIJo-QmrYxxhlQRFuIJtJ1jSjY,"Vancouver, BC V6G 1Z4, Canada",1.5 hours,http://vancouver.ca/parks-recreation-culture/stanley-park.aspx,"['All', '', 'seawall', 'totem poles', 'ocean', 'aquarium', 'horse drawn carriage', 'rollerblade', 'lagoon', 'bike lanes', 'seaplane']"
The Butchart Gardens,"The Butchart Gardens is a group of floral display gardens in Brentwood Bay, British Columbia, Canada, located near Victoria on Vancouver Island. The gardens receive over a million visitors each year. The gardens have been designated a National Historic Site of Canada. Wikipedia",4.7,"14,186 reviews","['https://lh6.googleusercontent.com/proxy/TpxinTSO-2n9ZQg4olnCNqedFPmWShMnCOnIlNVZXIhhpBsEgfYyF7JhDIV0yP5uxDZqdSiydaOKZ2R-kSoLR0P-rZctGc0sFXH5KRyeBbCaEF4bCnRANQsAKqSl2Kd4JFw8ojRVx458wu0d-u767wslmvolfPCkvhzPRTk_-jwc=w296-h202-n-k-no', 'https://t1.gstatic.com/images?q=tbn:ANd9GcTkkBV_nQlTr43BdihXxKxDJIHUgpJyo6DTdBrBqaWq8COv1AZIUU9hTeq-YWneCoT7WKFaaNtYEU5hNxhFc6bc8Q', 'https://t0.gstatic.com/images?q=tbn:ANd9GcTudxHqfufoR1JvasVuhJDbotJRpprxrVbHgOGohrLn7O0fOVLMlP1OOBY61l2ksR9WL7-67ZFZde_Gm9WbUrF6YA']","{'Friday': ' 09:00 – 14:30', 'Saturday': ' 09:00 – 14:30', 'Sunday': ' 09:00 – 14:30', 'Monday': ' 09:00 – 14:30', 'Tuesday': ' 09:00 – 14:30', 'Wednesday': ' 09:00 – 14:30', 'Thursday': ' 09:00 – 14:30'}",https://search.google.com/local/reviews?placeid=ChIJvzOu-Blsj1QRBKwRKIb3mW8,"800 Benvenuto Ave, Brentwood Bay, BC V8M 1J8, Canada",2.5 hours,https://www.butchartgardens.com/,"['All', '', 'fireworks', 'gift shop', 'christmas lights', 'high tea', 'carousel', 'quarry', 'umbrellas', 'cruise', 'limestone']"
Capilano Suspension Bridge Park,"The Capilano Suspension Bridge is a simple suspension bridge crossing the Capilano River in the District of North Vancouver, British Columbia, Canada. The current bridge is 140 metres long and 70 metres above the river. It is part of a private facility with an admission fee, and draws over 1.2 million visitors per year. Wikipedia",4.5,"19,194 reviews","['https://lh3.googleusercontent.com/proxy/t4S-MUEwKRuoyiWH6_E9EFK38jExO-UFXJMAVbItOWJSyhFrRAETlaa2pUGmvdm9gz6XhBTKBSxfxrAxaRWJkr1-M9AaKR9l9MP-NXVWdMEUem79pP0CMNdB-80bUxOjuIsgqcZMeHpbE3Uq0wJDQJldx_u0zDd6z5BAY5T_xH5x=w296-h202-n-k-no', 'https://t1.gstatic.com/images?q=tbn:ANd9GcSWT66VTNbjJBgt49h9dAoyUfNdBEMmQYjFA-3m-6bcSt2H1qf6lgXd7zkPayepmB4ZMAptfqnUDYk7WMvQrTu2uw', 'https://t0.gstatic.com/images?q=tbn:ANd9GcQSmokSOOOeN4QLkW2PlGUy50WS-VJD1RVRYWcxonJsBe0HCEF2idB8Yb0BgrxnpmoDWzBVAwi_gEHfQ2UTq9SYog']","{'Friday': ' 10:00 – 17:00', 'Saturday': ' 10:00 – 17:00', 'Sunday': ' 10:00 – 17:00', 'Monday': ' 10:00 – 17:00', 'Tuesday': ' 10:00 – 17:00', 'Wednesday': ' 10:00 – 17:00', 'Thursday': ' 10:00 – 17:00'}",https://search.google.com/local/reviews?placeid=ChIJSd7cANJvhlQRXg8TheyzUPM,"3735 Capilano Rd, North Vancouver, BC V7R 4J1, Canada",2.5 hours,https://www.capbridge.com/,"['All', '', 'rainforest', 'christmas lights', 'afraid of heights', 'tree house', 'shuttle bus', 'grouse mountain', 'stanley park', 'totem poles', 'douglas fir']"
Granville Island,"Granville Island is a peninsula and shopping district in Vancouver, British Columbia, Canada. It is located across False Creek from Downtown Vancouver under the south end of the Granville Street Bridge. The peninsula was once an industrial manufacturing area, but today it is a hotspot for Vancouver tourism and entertainment. The area was named after Granville Leveson-Gower, 2nd Earl Granville.
The island is home to 275 businesses and facilities that employ more than 2,500 people and generates more than $215-million in economic activity each year.
Granville Island provides amenities such as a large public market, an extensive marina, a hotel, Arts Umbrella, False Creek Community Centre, various performing arts theatres including Vancouver's only professional improvisational theatre company Vancouver Theatresports League, the Arts Club Theatre Company and Carousel Theatre, fine arts galleries, and variety of shopping areas.
The Granville Island Public Market features a farmers' market, day vendors, and artists offering local Vancouver goods. Wikipedia",4.6,"1,042 reviews","['https://lh3.googleusercontent.com/proxy/GEo1IPl84swu3jSvOCdZu2YcihsbIqjvJc6-aabLypgwcXLpiM1LbcqlQwbn807GB8C8AoGfI83MDxXnNd0IqZKIR8VqZi854SyZ15XVjPvMyxuUz0otC8JCveJbzS1wG24neqbCkW4Rwyp-cnWn0Obhv9tDu4q6bhlNmoFOIPXK=w296-h202-n-k-no', 'https://t2.gstatic.com/images?q=tbn:ANd9GcTw2gX_F5ExOlFA8JZYrZUeAt6zXGv9WtO-tRACCRPy3d6EFGis94bI7pSxunUPV6w_u8V-Ev6JItusQceZKgQutA', 'https://t0.gstatic.com/images?q=tbn:ANd9GcSJeCOHWDdGGKNt_UBjwV4VuXyJ58ZVXaJrw2JpHUYQ9mSIoOa8L-03d68Yfze1sIQ_t92Wb1kL8w6g7QFS4S2KrA', 'https://lh5.googleusercontent.com/p/AF1QipNtI-5AP0TBWwCIjQA7B9dAdJTlcE7Ioaa2pBUX=w296-h202-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN06oq9uvhQx2usZ8Ftf8gTfZ0TzbPsHHRVCMyz=w296-h202-n-k-no']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJSd7cANJvhlQRXg8TheyzUPM,"3735 Capilano Rd, North Vancouver, BC V7R 4J1, Canada",2.5 hours,https://www.capbridge.com/,"['All', '', 'rainforest', 'christmas lights', 'afraid of heights', 'tree house', 'shuttle bus', 'grouse mountain', 'stanley park', 'totem poles', 'douglas fir']"
Emerald Lake,"Emerald Lake is located in Yoho National Park, British Columbia, Canada. It is the largest of Yoho's 61 lakes and ponds, as well as one of the park's premier tourist attractions. Emerald Lake Lodge, a high-end lodge perched on the edge of the lake, provides local accommodation. A 5.2 km hiking trail circuits the lake, the first half of which is accessible to wheelchairs and strollers. During the summer months, canoe rentals are available; in the winter, the lake is a popular cross country skiing destination.
The lake is enclosed by mountains of the President Range, as well as Mount Burgess and Wapta Mountain. This basin traps storms, causing frequent rain in summer and heavy snowfalls in winter. This influx of moisture works with the lake's low elevation to produce a unique selection of flora. Trees found here are more typical of B.C.'s wet interior forests, such as western red cedar, western yew, western hemlock and western white pine. The alluvial fan on the northeast shore produces wildflowers in abundance during late June and early July.
Due to its high altitude, the lake is frozen from November until June. Wikipedia",4.8,726 reviews,"['https://t2.gstatic.com/images?q=tbn:ANd9GcR5Ob3Ak0rrXDwmzWT5c-80Jj1e_9dZvod1DqO3QYKx0hLIozi59DpfhyYzj8vM0Fz5OneLq_meXnhQaWZI--ktZA', 'https://lh3.googleusercontent.com/proxy/tV-q4dCDnGzmRB9Q5S0v3hULV97sGLegNLYgQ9Wcc_fDMz6VfbkfKti3RRSG2vfxaXmw79I6atea4I1XnSyYSpw9DPuEvSraV_Lwb1QZR8G6O4cKQfru4dAalo6peDDSYn25IjFzH8jUHoqXwwSmoF9RNVV6D1n27YA=w296-h202-n-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOrQGqqgRf3T1FXuRm2O9PhUbVkkEuT-PF5My36=w296-h202-n-k-no']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJ21xUfDnfeVMRuTTXtIuOxP0,"1,301 m",,#,"['All', '', 'beautiful', 'hike', 'canoe', 'color', 'trail', 'rent', 'winter', 'lodge', 'gift shop']"
Whistler Blackcomb,"Whistler Blackcomb is a ski resort in 4545 Blackcomb Way, Whistler, V0N 1B4, British Columbia, Canada. Wikipedia",0.0,0,"['https://lh6.googleusercontent.com/proxy/rynY8y9L6fQEgBd2y9LZaL9Zn1hpO7Puljix-Yd7iwAv5waMjOl3psQFqkNxtvZgebfkioywy1xrLZJHJXAymBoMUPbmTbQJ2dmah2XYoYn76af0V4KaP7AAnaXIG2uOouOv0TLjEQKZCBsui1FjKgYDklCU2N0ZQQXeSAwK9jXu=w296-h202-n-k-no', 'https://t2.gstatic.com/images?q=tbn:ANd9GcT9MNtCIrghnbQr8kUH9wcQohrFO3fSBy06anhiFDtn99GhoxmrZUqzBZiU2zGRkB_TRoa1WXSB8NNhKKMZNlEm1g', 'https://t3.gstatic.com/images?q=tbn:ANd9GcQlqC7Aqbv97Ixc1niCzwFYFxFJDPc09aiIoAmWWjYMi6yuVLeQh5S-2jFN0IoAP31TPCtt0I0tZHYPy5bclhO6ZA']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJzfl7Bk0jh1QRqgsrAq-dzgU,"4545 Blackcomb Way, Whistler, BC V0N 1B4, Canada",,https://www.whistlerblackcomb.com/,"['All', '', 'gondola', 'pass', 'glacier', 'outdoors', 'pow', 'vail resorts', 'coast', 'planet', 'suspension bridge']"
Yoho National Park Of Canada,"Yoho National Park is a national park of Canada in British Columbia. It is located within the Rocky Mountains along the western slope of the Continental Divide of the Americas in southeastern British Columbia. The word Yoho is a Cree expression of amazement or awe, and it is an apt description for the spectacular landscape of massive ice fields and mountain peaks that rank among the highest in the Canadian Rockies. Yoho NP is bordered by Kootenay National Park on the southern side and Banff National Park on the eastern side in Alberta.
Yoho covers 1,313 square kilometres, and it is the smallest of the four contiguous national parks. Yoho, together with Jasper, Kootenay and Banff National Parks, along with three British Columbia provincial parks—Hamber Provincial Park, Mount Assiniboine Provincial Park, and Mount Robson Provincial Park—form the Canadian Rocky Mountain Parks World Heritage Site. The park's administrative and visitor centre are located in Field, British Columbia, beside the Trans-Canada Highway. Wikipedia",4.7,"4,070 reviews","['https://lh3.googleusercontent.com/proxy/B_FGM4faTY4-e9yLX3IzDo9H4MKX5sQRR8JoQ9LVJdWT0v__FGQlLrTXBfFb33w5c-hvBJmM0rzCjVusvW7FrZhV_v3ipcUCU5k8Bt65uuow8sqlWeYoQ73dQiXGtr3ey383La9KtkRE9jV7-CMCvTnr0mKkjliKttbHZ2oov8wW=w296-h202-n-k-no', 'https://t1.gstatic.com/images?q=tbn:ANd9GcSkzsJ6USFr5vZoStM4LUYWUE7XU-UOhmHb9v6jSg8MNIpZZOIpDhtV0IcV3jRxEJ59OUUqzIVaKqBd-IpdqHBzXg', 'https://t0.gstatic.com/images?q=tbn:ANd9GcQ5teUCCicUfJGGGcvjbiPHT1ExiJFKI1vUHua-_PYsVFfmfDVm7pJxdS5dRlXmDTLbBcQRP-NHWjp3vXwxldkljQ']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJUxBJITveeVMRdW-P2NvpnPI,"Field, BC V0A 1G0, Canada",,https://www.pc.gc.ca/fr/pn-np/bc/yoho,"['All', '', 'falls', 'scenery', 'natural bridge', 'glaciers', 'highway', 'fossils', 'gem', 'canoe', 'provincial parks']"
Grouse Mountain,"ski resort in British Columbia, Canada",4.6,"9,107 reviews","['https://lh6.googleusercontent.com/proxy/vj-dQJL3g5nkPAWriNqjOmcM0JcfffXCZ4L2I5O0-et0VpyDKzcJXdhcPjlQBI6d_NgtVtsdIFfPbfJ_iyDRrnq6Nno152dBATNIgNeWNzSzm-hkopc8pnjf3ch3bB4kDaMDO8RUowiJhMRDIQpWa5zyfGdFZMlcykox-w6g9F59=w296-h202-n-k-no', 'https://t0.gstatic.com/images?q=tbn:ANd9GcSM4a5VBSxQT6il4nLGCNf4nkC16Bl_nibwoAed9GfMBdQIoxJexWgFGNBfDvqPbIoMdjqtcb7CZvM6YpsRqgiudw', 'https://t3.gstatic.com/images?q=tbn:ANd9GcSZu4CRbg_PnH7-BOpVhQ3keA18cN0lORAFlCWZ6rwEPb2MJXPHO7w-r0Y2Ckqbpwv9UNw8spxdT1oVPHsRjTvyMQ']","{'Friday': ' 09:00 – 21:30', 'Saturday': ' 09:00 – 21:30', 'Sunday': ' 09:00 – 21:30', 'Monday': ' 09:00 – 21:30', 'Tuesday': ' 09:00 – 21:30', 'Wednesday': ' 09:00 – 21:30', 'Thursday': ' 09:00 – 21:30'}",https://search.google.com/local/reviews?placeid=ChIJNz7rZoVvhlQR9kZL6IxEY00,"6400 Nancy Greene Way, North Vancouver, BC V7R 4K9, Canada",20 min,https://www.grousemountain.com/,"['All', '', 'zip line', 'gondola', 'shows', 'ice skating', 'tram', 'lugar', 'habitat', 'owl', 'lumber']"
Queen Elizabeth Park,"Queen Elizabeth Park is a 130-acre municipal park located in Vancouver, British Columbia, Canada. It is located on top of Little Mountain and is the location of former basalt quarries that were dug in the beginning of the twentieth century to provide material for roads in the city. Wikipedia",4.6,"9,762 reviews","['https://lh5.googleusercontent.com/proxy/LO3m7R3FRARw-qPqTvYN1n90GFRQFkT59z241O9AXn2qeGTX_a2jXO3FGgGtHajyS_krheXPFeNvMGXeWtJ-nNz4s_NkHGXwezLuQx7RJlq2WrqR8DXlv26bsUCXe9qtht6HVh0fsv-bnHzVHQWr-ndrZB2PwOlQ0w7d5GQUxdea=w296-h202-n-k-no', 'https://t1.gstatic.com/images?q=tbn:ANd9GcTFVoyvnPWnuUY_xGIRqe2nCIMUA_vlqARElS2WieCFyVDyzoju2FjWLcGMo2awGh1iGGVDAIsGKm1ZWnEt15yv8g', 'https://t3.gstatic.com/images?q=tbn:ANd9GcRoeZYGaADgIix6lugZNthTGAauWobZNcRn8WD8j2mxerheWmg5REAu6O2SQFIxqXHd7MahJGRgb1FgALInRKKN1A']","{'Friday': ' 06:00 – 22:00', 'Saturday': ' 06:00 – 22:00', 'Sunday': ' 06:00 – 22:00', 'Monday': ' 06:00 – 22:00', 'Tuesday': ' 06:00 – 22:00', 'Wednesday': ' 06:00 – 22:00', 'Thursday': ' 06:00 – 22:00'}",https://search.google.com/local/reviews?placeid=ChIJIcZrTvVzhlQRiKTnD03vt7Q,"4600 Cambie St, Vancouver, BC V5Z 2Z1, Canada",1.5 hours,https://vancouver.ca/parks-recreation-culture/queen-elizabeth-park.aspx,"['All', '', 'conservatory', 'disc golf', 'pitch and putt', 'botanical garden', 'quarry', 'cherry blossoms', 'tropical', 'rose garden', 'butchart gardens']"
Vancouver Aquarium,"The Vancouver Aquarium is a public aquarium located in Stanley Park in Vancouver, British Columbia, Canada. In addition to being a major tourist attraction for Vancouver, the aquarium is a centre for marine research, ocean literacy education, conservation and marine animal rehabilitation.
The Vancouver Aquarium was one of the first facilities to incorporate professional naturalists into the galleries to interpret animal behaviours.
Prior to this, at the London Zoo Fish House, naturalists James S. Bowerbank, Ray Lankester, David W. Mitchell and Philip H. Gosse had regularly held ""open house"" events, but the Vancouver Aquarium was the first to employ educational naturalists on a full-time basis. Aquarium research projects extend worldwide, and include marine mammal rescue and rehabilitation.
On August 9, 2010 Prime Minister Stephen Harper and B.C. Premier Gordon Campbell announced capital funding of up to $15 million. The province would donate $10 million in funding over the next three years to help pay for a planned expansion of the 54-year-old facility, Premier Gordon Campbell said. Wikipedia",4.5,"7,447 reviews","['https://lh3.googleusercontent.com/proxy/9FHItwmE3Dw2y0cSgr26OYuSQin6tFrQMAfyS_m6UdyH31lm8NdFN4S0QzP0-acdicRTLoChad5zn_aQPhhww9zdGdp6DCkY9FkTX7sKGQERXVXU96Sp3odKfpF_HFr5AJ94NtAW2cNnSaiLzzmwAGGTJgxidldziMN9u1Cvd-77=w296-h202-n-k-no', 'https://t1.gstatic.com/images?q=tbn:ANd9GcTs1PfXkmaIpqrX_QAa80e1VcAk--IVW7pRrLQDkWNBxYHbqnQORaAPAMnyMS76c1etFKYpq_CNFUPjjJunwGuvvg', 'https://t1.gstatic.com/images?q=tbn:ANd9GcSf6Lzpm1OmLZsRmfeqO034-gOFRvpCPsfzYUqpg6wwNa80okRIAspJ6TwLtBt3MVWc1yQnyUI54Skg6nHkr4b5yQ']",{'Description': 'Temporarily Close'},https://search.google.com/local/reviews?placeid=ChIJp2zKeo1xhlQRWOMOmCcWJV8,"845 Avison Way, Vancouver, BC V6G 3E2, Canada",,https://www.vanaqua.org/,"['All', '', 'shows', 'learn', 'jellyfish', 'beluga whales', 'sea otters', '4d movie', 'conservation', 'rescue animals', 'bats']"
