,ID,resId,title
0,0,0,Little Dim Sum
1,1,1,Freshii
2,2,2,Pantry Family Restaurant
3,3,3,Townhall Public House Abbotsford
4,4,4,Starbucks
5,5,5,Golden Dragon Restaurant
6,6,6,Townline Taphouse & Grill
7,7,7,Boston Pizza
8,8,8,White Spot
9,9,9,Koya Japan
10,10,10,Subway
11,11,11,Papa Greek
12,12,12,Common Place Cafe
13,13,13,Midori Japanese Restaurant
14,14,14,J's Pizza
15,15,15,Ricardo's Pizza
16,16,16,McDonald's
17,17,17,Keg Restaurant & Bar
18,18,18,Phoenix Diner
19,19,19,Super Punjab Sweet House
20,20,20,Field House Brewing Co
21,21,21,Little Caesar's
22,22,22,The Pantry
23,23,23,Station House Bar and Grill
24,24,24,Tony's Place Restaurant
25,25,25,Rasoi King
26,26,26,New York Fries
27,27,27,Classic Pizza
28,28,28,Pizza Junction and Snack
29,29,29,Pita Pit
30,30,30,76 Pizza
31,31,31,The Chopped Leaf
32,32,32,ABC Donair Zone
33,33,33,Big Feast Bistro & Retail
34,34,34,Dake Japanese Restaurant
35,35,35,Francisco's Cafe
36,36,36,Panago Pizza
37,37,37,Brothers Bowling and Billiards - Sports Grill
38,38,38,Ricky's Country Restaurant
39,39,39,Orange Julius
40,40,40,Sushiteria & Catering
41,41,41,Tim Hortons
42,42,42,Delux Pizza
43,43,43,Paliotti's Italian Restaurants
44,44,44,Dream Pizza
45,45,45,Ebisu Sushi Japanese Restaurant
46,46,46,Maru Sushi
47,47,47,Flavours Indian Cuisine
48,48,48,Yummy Sushi Gallery
49,49,49,Booster Juice
50,50,50,Brgr Brgr
51,51,51,Antonio's Restaurant
52,52,52,Pizza Garden
53,53,53,Pizza Hut
54,54,54,Papa John's Pizza
55,55,55,Desi Meat & Masala Shop
56,56,56,Pho 19
57,57,57,Top Slice Pizza
58,58,58,New Passage To India
59,59,59,Big Feast Bistro
60,60,60,Sprouted Oven
61,61,61,King Kabob
62,62,62,Abbey Road Taphouse
63,63,63,Noodlebox
64,64,64,Spice Kitchen The Indian Palate
65,65,65,Meat & Bread
66,66,66,Freshslice Pizza
67,67,67,Denny's
68,68,68,Ravens Bar & Grill
69,69,69,The Glen Bar & Grill
70,70,70,Dragon Fort Restaurant
71,71,71,Mr India Restaurant
72,72,72,Ono's Sushi Bar
73,73,73,Thai Express
74,74,74,Taqueria del Pueblo
75,75,75,City Cafe
76,76,76,Bento Express
77,77,77,Wendy's
78,78,78,Barcelos Flame Grilled Chicken
79,79,79,Mandarin Garden
80,80,80,Lee's Famous Recipe Chicken
81,81,81,Taco Del Mar
82,82,82,Little Saigon
83,83,83,Woodpecker Restaurant
84,84,84,Good Taco
85,85,85,Patna Sweets & Restaurant
86,86,86,Dion's Table
87,87,87,Sasha Sushi
88,88,88,Cactus Club Cafe
89,89,89,Carl's Jr.
90,90,90,Lighthouse FRESH and TASTY
91,91,91,Trading Post Eatery Abbotsford
92,92,92,Memphis Blues - Abbotsford
93,93,93,Bow & Stern
94,94,94,Reel Wrapps
95,95,95,De Dutch
96,96,96,House of James
97,97,97,Old Spaghetti Factory
98,98,98,Triple O's
99,99,99,Kami
100,100,100,Rivers Restaurant
101,101,101,Nikko Japanese Restaurant
102,102,102,Piccata's
103,103,103,Ann Maries Cafe
104,104,104,Hana Sushi
105,105,105,Abby Pizza Place
106,106,106,Wings
107,107,107,Thong La's Restaurant
108,108,108,C-Lovers Fish & Chips
109,109,109,Curry Time
110,110,110,Giddy up Pizza N Curry
111,111,111,Original Joe's
112,112,112,Ono's of Japan
113,113,113,Reddy Made Cakes
114,114,114,Tong Fei Chinese Restaurant
115,115,115,Donair Affair
116,116,116,Jim's Pizza
117,117,117,Crossroads Restaurant
118,118,118,Rendezvous Restaurant
119,119,119,High Point Meat Shop
120,120,120,Nine. Downtown Kitchen & Lounge
121,121,121,Sneakers Sports Lounge
122,122,122,Manchu Wok
123,123,123,strEATS SUS UFV Kitchen
124,124,124,Hot Chili House
125,125,125,Beans & Leaves
126,126,126,KFC
127,127,127,South East Restaurant
128,128,128,Little Caesars
129,129,129,Lucky Pearl Chinese Food
130,130,130,Ivana TeaHouse
131,131,131,KoJan Sushi Restaurant
132,132,132,Roseland Family Restaurant
133,133,133,Dhaliwal Sweets and Bakery
